experiment,model,reference_concept,concept,direction,comparable,reason,achieved_gap,reference_requested_delta,reference_achieved_delta,reference_baseline,reference_transformed,reference_impact,concept_requested_delta,concept_achieved_delta,concept_baseline,concept_transformed,concept_impact,comparison_outcome,reference_larger,seed
RQ1b,B-pure-centralization,Centralization,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,B-pure-centralization,Centralization,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,B-pure-centralization,Centralization,Churn,increase,True,matched,0.01288718112378967,0.05,0.8875739644970414,0.20812807881773399,0.39285714285714285,0.20812807881773399,0.15,0.8991616231947124,0.20812807881773399,0.19581280788177338,-0.013696392971270913,reference_larger,True,1
RQ1b,B-pure-centralization,Centralization,Churn,decrease,True,matched,0.0016507514419923034,-0.15,-0.7396449704142012,0.20812807881773399,0.05418719211822659,-0.20812807881773399,-0.75,-0.7408679592662859,0.20812807881773399,0.20812807881773399,0.0,reference_larger,True,1
RQ1b,C-weighted (2bw+3c),Bridge Width,Centralization,increase,True,matched,0.014166666666666645,0.9,0.875,16.624384236453203,30.550492610837438,15.915552427867697,0.05,0.8875739644970414,16.624384236453203,17.178571428571427,0.6243842364531993,reference_larger,True,1
RQ1b,C-weighted (2bw+3c),Bridge Width,Centralization,decrease,True,matched,0.005882352941176501,-0.5,-0.5,16.624384236453203,8.513546798029557,-16.221674876847292,-0.075,-0.5029585798816568,16.624384236453203,16.310344827586206,-0.6243842364532046,reference_larger,True,1
RQ1b,C-weighted (2bw+3c),Bridge Width,Density,increase,True,matched,0.0035714285714285683,0.75,0.75,16.624384236453203,28.624384236453203,16.0,0.75,0.7526881720430108,16.624384236453203,16.439655172413794,-0.24542575650950085,reference_larger,True,1
RQ1b,C-weighted (2bw+3c),Bridge Width,Density,decrease,True,matched,0.0035714285714285683,-0.75,-0.75,16.624384236453203,4.495073891625616,-16.17241379310345,-0.75,-0.7526881720430108,16.624384236453203,16.439655172413794,-0.24542575650950085,reference_larger,True,1
RQ1b,C-weighted (2bw+3c),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,C-weighted (2bw+3c),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,C-weighted (2bw+3c),Bridge Width,Churn,increase,True,matched,0.026871279391202627,0.9,0.875,16.624384236453203,30.550492610837438,15.915552427867697,0.15,0.8991616231947124,16.624384236453203,16.58743842364532,-0.04108917891381357,reference_larger,True,1
RQ1b,C-weighted (2bw+3c),Bridge Width,Churn,decrease,True,matched,0.012176054311618797,-0.75,-0.75,16.624384236453203,4.495073891625616,-16.17241379310345,-0.75,-0.7408679592662859,16.624384236453203,16.624384236453203,0.0,reference_larger,True,1
RQ1b,D-slope-of-bridge,Bridge Trend,Bridge Width,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,D-slope-of-bridge,Bridge Trend,Bridge Width,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,D-slope-of-bridge,Bridge Trend,Centralization,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,D-slope-of-bridge,Bridge Trend,Centralization,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,D-slope-of-bridge,Bridge Trend,Density,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,D-slope-of-bridge,Bridge Trend,Density,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,D-slope-of-bridge,Bridge Trend,Churn,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,D-slope-of-bridge,Bridge Trend,Churn,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,A-pure-bridge (mean),Bridge Width,Centralization,increase,True,matched,0.016393442622951355,0.75,0.75,8.0,14.0,8.0,0.03,0.7377049180327865,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-pure-bridge (mean),Bridge Width,Centralization,decrease,True,matched,0.016393442622950838,-0.5,-0.5,8.0,4.0,-8.0,-0.05,-0.4918032786885246,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-pure-bridge (mean),Bridge Width,Density,increase,True,matched,0.0,0.5,0.5,8.0,12.0,8.0,0.5,0.5,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-pure-bridge (mean),Bridge Width,Density,decrease,True,matched,0.0,-0.5,-0.5,8.0,4.0,-8.0,-0.5,-0.5,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-pure-bridge (mean),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,A-pure-bridge (mean),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
