dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
bitcoin_alpha,20,slope_bridge_width,Churn,decrease,-0.5,0.0,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_density,Bridge Width,increase,0.1,0.09682804674457436,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Width,decrease,-0.1,-0.09682804674457425,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Centralization,increase,0.1,0.8401200171453066,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Centralization,decrease,-0.1,-0.37291041577368195,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Density,increase,0.1,0.09989806320081561,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Density,decrease,-0.1,-0.09887869520897033,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Trend,increase,0.1,0.952631578947369,absolute,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Trend,decrease,-0.1,-9.4203007518797,absolute,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Churn,increase,0.1,0.0,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_density,Churn,decrease,-0.1,0.0,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_density,Bridge Width,increase,0.25,0.24874791318864772,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Width,decrease,-0.25,-0.24874791318864772,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Centralization,increase,0.25,1.8559794256322335,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Centralization,decrease,-0.25,-0.5872267466780969,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Density,increase,0.25,0.24974515800203875,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Density,decrease,-0.25,-0.24974515800203875,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Trend,increase,0.25,1.0142857142857147,absolute,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Trend,decrease,-0.25,-154.6887218045114,absolute,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Churn,increase,0.25,0.0,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_density,Churn,decrease,-0.25,0.0,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_density,Bridge Width,increase,0.5,0.5008347245409016,relative,0.00014005602240896358,0.00028011204481792715,0.00014005602240896358,0.00027964519140989723,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Width,decrease,-0.5,-0.4958263772954925,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Centralization,increase,0.5,1.9502786112301758,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Centralization,decrease,-0.5,-0.7458208315473639,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Density,increase,0.5,0.4989806320081551,relative,0.00014005602240896358,0.00028011204481792715,0.00014005602240896358,0.0002806842859717941,achieved,False,42
bitcoin_alpha,20,persistence_density,Density,decrease,-0.5,-0.4954128440366972,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Trend,increase,0.5,0.9909774436090231,absolute,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Bridge Trend,decrease,-0.5,-253.37443609022563,absolute,0.00014005602240896358,0.00014005602240896358,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_density,Churn,increase,0.5,0.0,relative,0.00014005602240896358,0.00014005602240896358,0.0,0.0,requested,True,42
